,Account Name,Tweet Text,Compound Score,Positive Score,Neutral Score,Negative Score,Date
0,Fox News,.@StateDept releases Huma Abedin emails found on Anthony Weiner's laptop https://t.co/Bx0ThkO80E,0.0,0.0,1.0,0.0,Sat Dec 30 02:35:38 +0000 2017
1,Fox News,.@LindseyGrahamSC talked to Brian @Kilmeade? Friday about the need to fix the U.S. immigration system.  #Tucker https://t.co/gdkKeQFRDw,0.0,0.0,1.0,0.0,Sat Dec 30 02:10:39 +0000 2017
2,Fox News,South Korea holding crew of ship that allegedly gave oil to North Koreans https://t.co/lsivMGPUtA,0.0,0.0,1.0,0.0,Sat Dec 30 01:46:28 +0000 2017
3,Fox News,".@LindseyGrahamSC: ""After having looked at the history of the [Trump] dossier, and how it was used by… https://t.co/JrCwivzST6",0.0,0.0,1.0,0.0,Sat Dec 30 01:34:24 +0000 2017
4,Fox News,".@LindseyGrahamSC on immigration reform: ""The lottery system is just the dumbest way in the world to give out visas… https://t.co/SPPSgyIRRo",-0.5106,0.0,0.852,0.148,Sat Dec 30 01:28:48 +0000 2017
5,Fox News,".@TomFitton on today's release of @HillaryClinton aide Huma Abedin's emails, some of which were deemed 'classified'… https://t.co/mh2RiYSJC3",0.0,0.0,1.0,0.0,Sat Dec 30 01:20:37 +0000 2017
6,Fox News,.@TomiLahren Recaps 2017: '@POTUS Did a Lot That He Will Never Get Credit For' https://t.co/3v1AcN07HP,0.3818,0.167,0.833,0.0,Sat Dec 30 01:18:00 +0000 2017
7,Fox News,"Jonathan Turley on classified documents on Anthony Weiner's laptop: ""I also think it's strange for Democrats to say… https://t.co/4jORnONkrG",-0.2023,0.0,0.909,0.091,Sat Dec 30 01:08:11 +0000 2017
8,Fox News,".@TheJusticeDept not appealing transgender military ruling, but not abandoning case https://t.co/JuRRhpFjcr",0.4168,0.217,0.783,0.0,Sat Dec 30 01:08:00 +0000 2017
9,Fox News,"Wendy Osefo on trade: ""Even though we want to be America first, we cannot isolate ourselves. We cannot work work in… https://t.co/CWvcm4Flx6",0.2244,0.126,0.874,0.0,Sat Dec 30 01:00:22 +0000 2017
10,Fox News,".@RCamposDuffy on @POTUS' year in review: ""He's really got just an America first agenda and so he's not tied to any… https://t.co/7NF1mwsFPe",0.0,0.0,1.0,0.0,Sat Dec 30 00:57:03 +0000 2017
11,Fox News,".@davecatanese's Winner of 2017: ""@WhiteHouse Chief of Staff John Kelly: ""I think you have to credit General Kelly… https://t.co/ENg4vbueqw",0.7506,0.274,0.726,0.0,Sat Dec 30 00:56:24 +0000 2017
12,Fox News,"Wendy Osefo on @POTUS taking on ISIS: ""When [Obama] was looking at Afghanistan and Iran, he had bipartisan support… https://t.co/EK6UF5N7cO",0.0,0.0,1.0,0.0,Sat Dec 30 00:53:05 +0000 2017
13,Fox News,"RT @MikeEmanuelFox: From #SpecialReport, @sendavidperdue talks about time he spent this week with President Trump and a look ahead to 2018:…",0.0,0.0,1.0,0.0,Sat Dec 30 00:52:00 +0000 2017
14,Fox News,".@RCamposDuffy on @POTUS' year in review: ""Failing on health care might have been what made the tax bill not only g… https://t.co/D2mdFhLMLF",-0.0258,0.121,0.755,0.125,Sat Dec 30 00:48:46 +0000 2017
15,Fox News,".@trish_regan: ""How has Las Vegas and some of these other events changed the way law enforcement approaches these b… https://t.co/Prf5ZgJSy5",0.0,0.0,1.0,0.0,Sat Dec 30 00:41:20 +0000 2017
16,Fox News,".@sarahcwestwood's Winner of 2017: @SpeakerRyan: ""House Republicans [have] been able to work together a lot more ef… https://t.co/OGWSjqgH2c",0.5859,0.192,0.808,0.0,Sat Dec 30 00:38:37 +0000 2017
17,Fox News,".@AmbJohnBolton on North Korean sanctions: ""China's got to deliver in a very short period of time or we face a very… https://t.co/XK5DqnGkUu",0.0,0.0,1.0,0.0,Sat Dec 30 00:33:00 +0000 2017
18,Fox News,".@jasonrileywsj's Winner of 2017: The @GOP: ""They showed that...Republicans couldn't just win elections, they could… https://t.co/BGfB2jMtJb",0.1847,0.182,0.671,0.147,Sat Dec 30 00:27:50 +0000 2017
19,Fox News,"Jonathan Turley on classified documents on Anthony Weiner's laptop: ""I also think it's strange for Democrats to say… https://t.co/fYt3elpPl2",-0.2023,0.0,0.909,0.091,Sat Dec 30 00:24:02 +0000 2017
20,Fox News,.@StateDept releases Huma Abedin emails found on Anthony Weiner's laptop https://t.co/Bx0ThkO80E,0.0,0.0,1.0,0.0,Sat Dec 30 02:35:38 +0000 2017
