location,abbreviation,meanIncome,excellent,veryGood,good,fair,poor
Alabama,AL,59464,16.8,27.9,32.4,15.7,7.3
Alaska,AK,89094,21.1,35.2,30.3,9.6,3.8
Arizona,AZ,68103,19.2,31.4,30.4,14.6,4.5
Arkansas,AR,57693,15.3,28.7,32.6,16,7.5
California,CA,88595,20.5,31.5,29.9,13.5,4.6
Colorado,CO,82295,21.2,36.2,29.5,10.1,3.1
Connecticut,CT,100948,23.4,34.8,27.5,11.3,3
Delaware,DE,78773,18.9,32.6,32.9,12.1,3.5
District of Columbia,DC,103525,26,36,25.1,9.4,3.5
Florida,FL,67510,20.7,28.8,31.2,14.2,5.1
Georgia,GA,68820,19,30.6,31.6,13.1,5.7
Hawaii,HI,86866,20.6,28.8,36.1,11.2,3.3
Idaho,ID,64115,20.7,36.4,29.8,9.4,3.7
Illinois,IL,79379,18.5,31.8,32.4,13.6,3.8
Indiana,IN,64422,15.6,30.7,34.9,13.4,5.5
Iowa,IA,69618,18.5,36.8,31.2,10.4,3.2
Kansas,KS,71045,18.6,34.8,31.2,11.7,3.8
Kentucky,KY,59057,15.5,29.4,30.8,15.9,8.4
Louisiana,LA,63728,19.1,28.7,30.5,14.8,6.9
Maine,ME,65842,18.9,37.1,28.9,10.9,4.2
Maryland,MD,97016,21.4,34.6,29.9,11.5,2.7
Massachusetts,MA,95404,24,34.5,27,10.5,4
Michigan,MI,66794,15.6,34.8,32.8,11.8,5
Minnesota,MN,81824,20.2,37.5,30.3,9.3,2.7
Mississippi,MS,54887,16,28.3,33.7,14.5,7.5
Missouri,MO,65169,18,34,31.1,11.9,5
Montana,MT,62309,20.2,34.3,30,11.1,4.3
Nebraska,NE,68359,19.3,36.5,31.1,9.9,3.3
Nevada,NV,67029,18.6,29.1,33.9,13.8,4.7
New Hampshire,NH,86622,21.1,38.9,26.3,9.8,3.9
New Jersey,NJ,99055,20.5,32.1,30.6,13.2,3.7
New Mexico,NM,61470,17.4,27.9,34,14.5,6.2
New York,NY,86563,19.9,31.2,31.7,12.3,4.9
North Carolina,NC,65099,19,31.7,30.4,13.5,5.5
North Dakota,ND,79136,17.9,36.9,31.1,11,3.1
Ohio,OH,66252,18.2,32.4,31.5,13.1,4.8
Oklahoma,OK,64584,16.3,30.6,32.6,14.1,6.4
Oregon,OR,69210,20.4,33.7,30.3,11.1,4.6
Pennsylvania,PA,73112,18.7,34.2,30,12.7,4.4
Rhode Island,RI,77146,18.9,36.8,29.1,11.7,3.5
South Carolina,SC,61903,17.7,32,30.5,13.4,6.4
South Dakota,SD,66580,19,36.9,30,10.6,3.4
Tennessee,TN,62734,16.5,29.9,29.8,16.2,7.6
Texas,TX,75557,18.1,28,34.5,14.2,5.3
Utah,UT,77413,22.9,35.5,29.5,9,3.1
Vermont,VT,69973,20.9,38.8,28.6,8.7,3
Virginia,VA,88457,20.2,34.3,28.7,12.2,4.7
Washington,WA,81218,17.9,35.3,30.8,12.2,3.8
West Virginia,WV,54877,13.5,28.2,32.6,16.7,9.1
Wisconsin,WI,68953,18,36.1,30.4,11.3,4.2
Wyoming,WY,72305,22.2,33.7,30.3,10.2,3.5
Puerto Rico,PR,29976,18.6,12.4,33.6,31.4,4.1
