city,date,fare,ride_id
Sarabury,2016-01-16 13:49:27,38.35,5403689035038
South Roy,2016-01-02 18:42:34,17.49,4036272335942
Wiseborough,2016-01-21 17:35:29,44.18,3645042422587
Spencertown,2016-07-31 14:53:22,6.87,2242596575892
Nguyenbury,2016-07-09 04:42:44,6.28,1543057793673
New Jeffrey,2016-02-22 18:36:25,36.01,9757888452346
Port Johnstad,2016-06-07 02:39:58,17.15,4352278259335
Jacobfort,2016-09-20 20:58:37,22.98,1500221409082
Travisville,2016-01-15 17:32:02,27.39,0850152768361
Sandymouth,2016-11-16 07:27:00,21.61,2389035050524
New Andreamouth,2016-04-11 07:20:48,7.72,9992929847990
New Christine,2016-09-13 15:06:42,24.89,7918411468537
Stewartview,2016-03-29 05:15:56,23.88,6778235889588
Rodriguezburgh,2016-09-05 05:20:39,4.54,9650770953139
West Sydneyhaven,2016-08-02 21:18:44,12.87,7994760397230
Swansonbury,2016-07-11 18:42:11,39.3,0744481862626
Lisatown,2016-07-05 18:09:14,5.82,6370359473201
East Erin,2016-11-03 01:03:05,7.51,4744239092530
Port Martinberg,2016-01-06 17:11:30,8.66,7298562820881
Wiseborough,2016-09-12 18:43:41,26.83,9304728540000
Edwardsbury,2016-02-27 03:55:54,20.17,8514523868075
Jacobfort,2016-06-12 17:01:29,34.47,4135673527977
Pamelahaven,2016-03-26 12:56:57,36.43,3015329826849
Fosterside,2016-08-12 11:52:41,28.08,0133077693483
Jacobfort,2016-09-17 12:38:58,38.25,2182376146051
West Sydneyhaven,2016-08-23 14:49:59,36.12,5885997568611
West Alexis,2016-01-16 00:33:02,26.62,1574788996743
Carrollfort,2016-06-24 20:11:11,6.45,1092683495142
New David,2016-01-12 20:48:43,38.68,5229089333754
Stewartview,2016-10-15 05:26:40,11.74,8402784599831
Williamshire,2016-06-22 07:53:44,39.81,5322918326146
Spencertown,2016-07-12 02:52:31,31.39,0754749022068
Torresshire,2016-10-29 12:28:18,23.5,6168304478087
New Aaron,2016-08-12 17:14:50,34.63,6249037081192
Kelseyland,2016-08-19 04:27:52,5.51,6246006544795
Spencertown,2016-06-13 03:01:05,25.91,7414420703015
Williamshire,2016-03-22 06:49:22,5.78,4026457009379
Lake Sarashire,2016-07-16 02:33:56,34.69,7536776262746
Swansonbury,2016-09-17 15:52:03,29.95,5575845447570
South Roy,2016-12-03 08:39:02,32.88,7098916182845
Pearsonberg,2016-03-27 03:46:41,6.72,0927702182035
Wiseborough,2016-10-01 09:57:27,37.84,1617736281758
Aprilchester,2016-05-11 07:04:30,20.29,1081687614611
South Josephville,2016-06-01 05:15:38,28.33,7956832876432
Sarabury,2016-07-23 07:42:44,21.76,7546681945283
Port Martinberg,2016-10-14 00:03:21,11.62,8416915635572
Davistown,2016-08-31 20:43:30,34.77,2560957341604
Lake Jeffreyland,2016-10-22 13:25:30,26.82,3277092464967
Port Samantha,2016-01-06 20:50:19,34.72,5731438242537
Smithhaven,2016-03-23 11:06:08,9.17,7823456852992
West Jefferyfurt,2016-07-08 05:37:54,28.75,0710013110978
Jacobfort,2016-06-23 10:30:26,16.24,1221562985836
Zimmermanmouth,2016-06-29 21:29:33,17.12,1214603530980
Eriktown,2016-07-26 10:58:14,19.81,6337630525080
Eriktown,2016-01-03 10:46:24,22.9,5882538144686
Kellershire,2016-05-05 08:07:56,26.5,6984237224818
West Alexis,2016-08-29 18:17:56,6.16,0209062359877
Alyssaberg,2016-05-28 09:20:29,35.61,7474701747862
Lake Jennaton,2016-06-05 12:00:48,25.56,9576410708436
West Brandy,2016-04-12 00:51:21,34.59,9597060126975
Port Samantha,2016-04-04 10:57:33,33.91,7428625925530
New Aaron,2016-10-30 22:19:10,8.44,1130740557911
