,City,Country ID,Temperature,Latitude,Longitude,Humidity,Cloudiness,Wind Speed (mph),Requested URL
0,Abha,SA,64.49,18.22,42.5,82,0,4.7,http://api.openweathermap.org/data/2.5/weather?appid=235e7cfc83c5d67891e91001012db21f&q=abha&units=imperial
1,Abu Dhabi,AE,67.06,24.47,54.37,56,0,1.12,http://api.openweathermap.org/data/2.5/weather?appid=235e7cfc83c5d67891e91001012db21f&q=abu dhabi&units=imperial
2,Abu Kamal,SY,57.68,34.45,40.92,39,80,5.97,http://api.openweathermap.org/data/2.5/weather?appid=235e7cfc83c5d67891e91001012db21f&q=abu kamal&units=imperial
3,Acapulco,MX,86,16.86,-99.88,66,75,3.36,http://api.openweathermap.org/data/2.5/weather?appid=235e7cfc83c5d67891e91001012db21f&q=acapulco&units=imperial
4,Aden,YE,76.13,12.79,45.03,98,0,14.7,http://api.openweathermap.org/data/2.5/weather?appid=235e7cfc83c5d67891e91001012db21f&q=aden&units=imperial
5,Adrar,DZ,60.8,27.87,-0.29,18,0,11.41,http://api.openweathermap.org/data/2.5/weather?appid=235e7cfc83c5d67891e91001012db21f&q=adrar&units=imperial
6,Afua,NG,87.8,5.27,7.87,66,40,8.05,http://api.openweathermap.org/data/2.5/weather?appid=235e7cfc83c5d67891e91001012db21f&q=afua&units=imperial
7,Aguimes,ES,64.4,27.91,-15.45,68,40,20.8,http://api.openweathermap.org/data/2.5/weather?appid=235e7cfc83c5d67891e91001012db21f&q=aguimes&units=imperial
8,Ahipara,NZ,70.96,-35.17,173.16,94,92,16.49,http://api.openweathermap.org/data/2.5/weather?appid=235e7cfc83c5d67891e91001012db21f&q=ahipara&units=imperial
9,Ahuimanu,US,65.28,21.44,-157.84,68,75,3.36,http://api.openweathermap.org/data/2.5/weather?appid=235e7cfc83c5d67891e91001012db21f&q=ahuimanu&units=imperial
10,Airai,TL,66.37,-8.93,125.41,89,36,1.39,http://api.openweathermap.org/data/2.5/weather?appid=235e7cfc83c5d67891e91001012db21f&q=airai&units=imperial
11,Aitape,PG,81.53,-3.15,142.36,96,12,8.55,http://api.openweathermap.org/data/2.5/weather?appid=235e7cfc83c5d67891e91001012db21f&q=aitape&units=imperial
12,Aklavik,CA,-12.28,68.22,-135.01,76,40,4.7,http://api.openweathermap.org/data/2.5/weather?appid=235e7cfc83c5d67891e91001012db21f&q=aklavik&units=imperial
13,Albany,US,39.88,42.65,-73.75,75,90,4.7,http://api.openweathermap.org/data/2.5/weather?appid=235e7cfc83c5d67891e91001012db21f&q=albany&units=imperial
14,Alboraya,ES,53.6,39.5,-0.35,34,20,13.87,http://api.openweathermap.org/data/2.5/weather?appid=235e7cfc83c5d67891e91001012db21f&q=alboraya&units=imperial
15,Aleksandrov Gay,RU,0.85,50.14,48.57,63,0,3.06,http://api.openweathermap.org/data/2.5/weather?appid=235e7cfc83c5d67891e91001012db21f&q=aleksandrov gay&units=imperial
16,Alice Springs,AU,73.4,-23.7,133.88,27,0,6.87,http://api.openweathermap.org/data/2.5/weather?appid=235e7cfc83c5d67891e91001012db21f&q=alice springs&units=imperial
17,Almaznyy,RU,31.85,48.03,40.04,93,88,13.58,http://api.openweathermap.org/data/2.5/weather?appid=235e7cfc83c5d67891e91001012db21f&q=almaznyy&units=imperial
18,Alofi,NU,81.67,-19.06,-169.92,100,100,24.76,http://api.openweathermap.org/data/2.5/weather?appid=235e7cfc83c5d67891e91001012db21f&q=alofi&units=imperial
19,Altamira,BR,82.4,-3.2,-52.21,74,40,8.05,http://api.openweathermap.org/data/2.5/weather?appid=235e7cfc83c5d67891e91001012db21f&q=altamira&units=imperial
20,Alugan,PH,74.02,12.22,125.48,100,80,6.08,http://api.openweathermap.org/data/2.5/weather?appid=235e7cfc83c5d67891e91001012db21f&q=alugan&units=imperial
21,Amazar,RU,-4.33,53.86,120.88,48,56,7.54,http://api.openweathermap.org/data/2.5/weather?appid=235e7cfc83c5d67891e91001012db21f&q=amazar&units=imperial
