,City,Country ID,Temperature,Latitude,Longitude,Humidity,Cloudiness,Wind Speed (mph)
0,Abha,SA,64.49,18.22,42.5,82,0,4.7
1,Abu Dhabi,AE,67.06,24.47,54.37,56,0,1.12
2,Abu Kamal,SY,57.68,34.45,40.92,39,80,5.97
3,Acapulco,MX,86,16.86,-99.88,66,75,3.36
4,Aden,YE,76.13,12.79,45.03,98,0,14.7
5,Adrar,DZ,60.8,27.87,-0.29,18,0,11.41
6,Afua,NG,87.8,5.27,7.87,66,40,8.05
7,Aguimes,ES,64.4,27.91,-15.45,68,40,20.8
8,Ahipara,NZ,70.96,-35.17,173.16,94,92,16.49
9,Ahuimanu,US,65.28,21.44,-157.84,68,75,3.36
10,Airai,TL,66.37,-8.93,125.41,89,36,1.39
11,Aitape,PG,81.53,-3.15,142.36,96,12,8.55
12,Aklavik,CA,-12.28,68.22,-135.01,76,40,4.7
13,Albany,US,39.88,42.65,-73.75,75,90,4.7
14,Alboraya,ES,53.6,39.5,-0.35,34,20,13.87
15,Aleksandrov Gay,RU,0.85,50.14,48.57,63,0,3.06
16,Alice Springs,AU,73.4,-23.7,133.88,27,0,6.87
17,Almaznyy,RU,31.85,48.03,40.04,93,88,13.58
18,Alofi,NU,81.67,-19.06,-169.92,100,100,24.76
19,Altamira,BR,82.4,-3.2,-52.21,74,40,8.05
20,Alugan,PH,74.02,12.22,125.48,100,80,6.08
21,Amazar,RU,-4.33,53.86,120.88,48,56,7.54
22,Ambagarh Chauki,IN,67.36,20.78,80.75,61,80,4.74
23,Ambilobe,MG,74.47,-13.19,49.05,93,24,3.18
24,Ambon,FR,46.4,47.55,-2.56,93,90,11.41
25,Amga,RU,-24.85,60.89,131.98,36,56,1.39
26,Amudat,UG,70.28,1.95,34.95,50,0,7.99
27,Anadyr,RU,28.4,64.73,177.51,92,90,8.95
28,Ancud,CL,59.71,-41.87,-73.83,68,68,4.29
29,Anloga,GH,86,5.79,0.9,74,0,13.87
30,Antofagasta,CL,75.2,-23.65,-70.4,60,20,12.75
31,Apricena,IT,52.37,41.78,15.44,98,76,20.51
32,Ardino,BG,42.8,41.58,25.13,100,92,18.34
33,Aripuana,BR,86.75,-9.17,-60.63,70,76,3.62
34,Arlit,NE,71.95,18.74,7.39,25,44,4.97
35,Arman,RU,3.2,59.7,150.17,77,90,3.18
36,Armidale,AU,53.95,-30.51,151.67,86,0,2.28
37,Arraial do Cabo,BR,85.75,-22.97,-42.02,69,0,23.04
38,Aswan,EG,86,24.09,32.9,13,0,1.12
39,Atambua,ID,76.49,-9.11,124.89,100,36,6.87
40,Atherton,GB,46.74,53.52,-2.49,93,90,5.82
41,Atuona,PF,78.25,-9.8,-139.03,100,56,13.35
42,Avarua,CK,78.8,-21.21,-159.78,94,90,4.7
43,Avera,US,62.62,33.19,-82.53,100,90,3.36
44,Aviles,ES,48.2,43.55,-5.92,76,75,10.29
45,Awbari,LY,44.68,26.59,12.77,56,0,2.95
46,Awjilah,LY,61.51,29.14,21.3,33,76,10.45
47,Axim,GH,83.38,4.87,-2.24,95,0,12.46
48,Ayni,TJ,10.48,39.39,68.54,63,0,1.72
