,Account Name,Tweet Text,Compound Score,Positive Score,Neutral Score,Negative Score,Date
0,BBC News (World),Long goodbye https://t.co/mM5KHSGewq,0.0,0.0,1.0,0.0,Sat Dec 30 01:03:17 +0000 2017
1,BBC News (World),Shooting star https://t.co/yBuUK1HK6y,0.0,0.0,1.0,0.0,Sat Dec 30 00:52:55 +0000 2017
2,BBC News (World),The litter-shaming photographer cleaning up her country https://t.co/e9V4715OiX,0.0,0.0,1.0,0.0,Sat Dec 30 00:49:06 +0000 2017
3,BBC News (World),The height of battle https://t.co/1GWCeFcjyu,-0.3818,0.0,0.606,0.394,Sat Dec 30 00:38:44 +0000 2017
4,BBC News (World),Busy year for storms https://t.co/2rFNeEBfvO,0.0,0.0,1.0,0.0,Sat Dec 30 00:35:12 +0000 2017
5,BBC News (World),The people who play the piano at St Pancras https://t.co/F6wQeKqaYI,0.34,0.211,0.789,0.0,Sat Dec 30 00:35:12 +0000 2017
6,BBC News (World),Ooh la la! 19th Century brothel's return https://t.co/QFS6LvZ3de,0.0,0.0,1.0,0.0,Sat Dec 30 00:24:41 +0000 2017
7,BBC News (World),Peru writers condemn ex-president Alberto Fujimori's pardon https://t.co/hIdAx1urgG,-0.0772,0.211,0.55,0.239,Sat Dec 30 00:04:08 +0000 2017
8,BBC News (World),Cardboard tents distributed to Brussels homeless https://t.co/Mbw4tQORuX,0.0,0.0,1.0,0.0,Fri Dec 29 23:43:38 +0000 2017
9,BBC News (World),St Petersburg supermarket blast claimed by IS https://t.co/7LEuzSUTv4,0.0,0.0,1.0,0.0,Fri Dec 29 22:49:52 +0000 2017
10,BBC News (World),Argentina father jailed for keeping daughter as 'sex slave' https://t.co/D4H9xUf9ar,-0.4939,0.0,0.738,0.262,Fri Dec 29 22:33:02 +0000 2017
11,BBC News (World),Iran protesters voice opposition in Iranian cities https://t.co/oPM2jKG4Lt,-0.2263,0.0,0.787,0.213,Fri Dec 29 22:08:41 +0000 2017
12,BBC News (World),"Thai fraudster sentenced to 13,275 years in prison https://t.co/If6zrugF5m",-0.7845,0.0,0.432,0.568,Fri Dec 29 22:05:09 +0000 2017
13,BBC News (World),Ashes: England coach Trevor Bayliss denies ball-tampering claims in fourth Test https://t.co/NJMnUWBAiL,-0.4215,0.0,0.797,0.203,Fri Dec 29 21:35:09 +0000 2017
14,BBC News (World),Mental health care a 'national problem' says sheriff https://t.co/z1ijWyEWnl,0.128,0.269,0.504,0.227,Fri Dec 29 21:35:09 +0000 2017
15,BBC News (World),Milo Yiannopoulos slams editor over withering book notes https://t.co/fXuzHzqWIE,0.0,0.0,1.0,0.0,Fri Dec 29 20:42:08 +0000 2017
16,BBC News (World),RT @BBCBusiness: Exmo Bitcoin exchange manager freed by kidnappers https://t.co/jlFcLp9Y6L,0.4019,0.231,0.769,0.0,Fri Dec 29 18:58:32 +0000 2017
17,BBC News (World),Bataclan massacre film put on hold amid families' anger https://t.co/rvuTuXuRJD,-0.5719,0.0,0.709,0.291,Fri Dec 29 18:57:16 +0000 2017
18,BBC News (World),US says Romanians hacked Washington DC police cameras https://t.co/mwVnZ6imW1,-0.4019,0.0,0.748,0.252,Fri Dec 29 18:57:13 +0000 2017
19,BBC News (World),Opening up https://t.co/KajqICH5IX,0.0,0.0,1.0,0.0,Fri Dec 29 18:12:41 +0000 2017
20,BBC News (World),Long goodbye https://t.co/mM5KHSGewq,0.0,0.0,1.0,0.0,Sat Dec 30 01:03:17 +0000 2017
21,BBC News (World),Shooting star https://t.co/yBuUK1HK6y,0.0,0.0,1.0,0.0,Sat Dec 30 00:52:55 +0000 2017
22,BBC News (World),The litter-shaming photographer cleaning up her country https://t.co/e9V4715OiX,0.0,0.0,1.0,0.0,Sat Dec 30 00:49:06 +0000 2017
23,BBC News (World),The height of battle https://t.co/1GWCeFcjyu,-0.3818,0.0,0.606,0.394,Sat Dec 30 00:38:44 +0000 2017
24,BBC News (World),Busy year for storms https://t.co/2rFNeEBfvO,0.0,0.0,1.0,0.0,Sat Dec 30 00:35:12 +0000 2017
25,BBC News (World),The people who play the piano at St Pancras https://t.co/F6wQeKqaYI,0.34,0.211,0.789,0.0,Sat Dec 30 00:35:12 +0000 2017
26,BBC News (World),Ooh la la! 19th Century brothel's return https://t.co/QFS6LvZ3de,0.0,0.0,1.0,0.0,Sat Dec 30 00:24:41 +0000 2017
27,BBC News (World),Peru writers condemn ex-president Alberto Fujimori's pardon https://t.co/hIdAx1urgG,-0.0772,0.211,0.55,0.239,Sat Dec 30 00:04:08 +0000 2017
28,BBC News (World),Cardboard tents distributed to Brussels homeless https://t.co/Mbw4tQORuX,0.0,0.0,1.0,0.0,Fri Dec 29 23:43:38 +0000 2017
29,BBC News (World),St Petersburg supermarket blast claimed by IS https://t.co/7LEuzSUTv4,0.0,0.0,1.0,0.0,Fri Dec 29 22:49:52 +0000 2017
30,BBC News (World),Argentina father jailed for keeping daughter as 'sex slave' https://t.co/D4H9xUf9ar,-0.4939,0.0,0.738,0.262,Fri Dec 29 22:33:02 +0000 2017
31,BBC News (World),Iran protesters voice opposition in Iranian cities https://t.co/oPM2jKG4Lt,-0.2263,0.0,0.787,0.213,Fri Dec 29 22:08:41 +0000 2017
32,BBC News (World),"Thai fraudster sentenced to 13,275 years in prison https://t.co/If6zrugF5m",-0.7845,0.0,0.432,0.568,Fri Dec 29 22:05:09 +0000 2017
33,BBC News (World),Ashes: England coach Trevor Bayliss denies ball-tampering claims in fourth Test https://t.co/NJMnUWBAiL,-0.4215,0.0,0.797,0.203,Fri Dec 29 21:35:09 +0000 2017
34,BBC News (World),Mental health care a 'national problem' says sheriff https://t.co/z1ijWyEWnl,0.128,0.269,0.504,0.227,Fri Dec 29 21:35:09 +0000 2017
35,BBC News (World),Milo Yiannopoulos slams editor over withering book notes https://t.co/fXuzHzqWIE,0.0,0.0,1.0,0.0,Fri Dec 29 20:42:08 +0000 2017
36,BBC News (World),RT @BBCBusiness: Exmo Bitcoin exchange manager freed by kidnappers https://t.co/jlFcLp9Y6L,0.4019,0.231,0.769,0.0,Fri Dec 29 18:58:32 +0000 2017
37,BBC News (World),Bataclan massacre film put on hold amid families' anger https://t.co/rvuTuXuRJD,-0.5719,0.0,0.709,0.291,Fri Dec 29 18:57:16 +0000 2017
38,BBC News (World),US says Romanians hacked Washington DC police cameras https://t.co/mwVnZ6imW1,-0.4019,0.0,0.748,0.252,Fri Dec 29 18:57:13 +0000 2017
39,BBC News (World),Opening up https://t.co/KajqICH5IX,0.0,0.0,1.0,0.0,Fri Dec 29 18:12:41 +0000 2017
40,BBC News (World),Tanzania threatens to shut churches after Magufuli criticism https://t.co/H8KGrTO7pv,-0.6705,0.0,0.56,0.44,Fri Dec 29 18:09:37 +0000 2017
41,BBC News (World),RT @BBCTech: Planning Africa's smart cities https://t.co/h86yZT4fVi,0.4019,0.31,0.69,0.0,Fri Dec 29 17:39:54 +0000 2017
42,BBC News (World),Tears of joy https://t.co/eqyoDbZEUT,0.4404,0.494,0.26,0.247,Fri Dec 29 17:37:46 +0000 2017
43,BBC News (World),This avocado is toast ?? https://t.co/aeJyRHWwVM,0.0,0.0,1.0,0.0,Fri Dec 29 16:07:20 +0000 2017
44,BBC News (World),RT @BBCNews: Dog and bone breakthrough could help human patients https://t.co/4egbkaiAhp,0.4019,0.213,0.787,0.0,Fri Dec 29 15:42:40 +0000 2017
45,BBC News (World),Deadly NYC fire 'caused by child playing' https://t.co/S2AYN0C0GG,-0.1531,0.176,0.588,0.235,Fri Dec 29 15:36:09 +0000 2017
46,BBC News (World),RT @bbcworldservice: Think it's cold where you are? Find out how people in the Russian far east cope with living in -50 Celsius. ? ? ? http…,0.0,0.0,1.0,0.0,Fri Dec 29 14:39:15 +0000 2017
47,BBC News (World),Iran hit by second day of anti-government protests https://t.co/sfEVi8Ahmo,-0.2263,0.0,0.808,0.192,Fri Dec 29 12:59:14 +0000 2017
48,BBC News (World),German court keeps Auschwitz SS guard Oskar Gröning in jail https://t.co/McT86xj846,0.0,0.0,1.0,0.0,Fri Dec 29 12:42:09 +0000 2017
49,BBC News (World),Contact made with 'missing' Angolan satellite https://t.co/FuCC12gSmx,0.0,0.0,1.0,0.0,Fri Dec 29 12:05:30 +0000 2017
