,Account Name,Tweet Text,Compound Score,Positive Score,Neutral Score,Negative Score,Date
0,CBS News,"""I'm scared! I'm scared! It's a mystery."" Man films his 85-year-old Italian grandma as she attempts to use her Goog… https://t.co/KnUHHUuTTP",-0.7494,0.0,0.738,0.262,Sat Dec 30 02:30:37 +0000 2017
1,CBS News,"""SWATing"" prank call led to the deadly officer-involved shooting of a 28-year-old man, Wichita Police Department co… https://t.co/8Vqu8gwOev",0.0,0.0,1.0,0.0,Sat Dec 30 02:15:01 +0000 2017
2,CBS News,Puerto Rico authorities say nearly half of power customers in the U.S. territory still lack electricity more than t… https://t.co/PuPSm6juIW,-0.3182,0.0,0.892,0.108,Sat Dec 30 02:00:01 +0000 2017
3,CBS News,"Three people are dead, including the gunman, after a shooting at a Houston auto repair shop, police say… https://t.co/c5FkAE0aWZ",-0.6486,0.0,0.788,0.212,Sat Dec 30 01:45:01 +0000 2017
4,CBS News,President Trump has terminated the appointments of the remaining Obama-appointed members of the Presidential Adviso… https://t.co/tkCYFO2Y5N,0.0,0.0,1.0,0.0,Sat Dec 30 01:29:02 +0000 2017
5,CBS News,"Sub-freezing temperatures caused an ""ice volcano"" to form in New York. It's 20 feet tall and spewing ice and water.… https://t.co/YIYY5XI6Vr",0.0,0.0,1.0,0.0,Sat Dec 30 01:24:31 +0000 2017
6,CBS News,"RT @48hours: The tragedy in Waco in 1993 continues to smolder. 

A special edition of #48hours begins now: https://t.co/ffybQwS8vX https://…",-0.4019,0.112,0.705,0.183,Sat Dec 30 01:02:28 +0000 2017
7,CBS News,"WATCH NOW: @48Hours reveals new details in deadly 1993 Waco, Texas, standoff. ""48 Hours: Secrets of Waco"" starts at… https://t.co/iiidVlHXCZ",0.0,0.0,1.0,0.0,Sat Dec 30 01:00:45 +0000 2017
8,CBS News,"""Although we knew this was coming, it was unexpected and fast."" Mystery writer Sue Grafton has died at age 77… https://t.co/m85JzabD09",-0.5574,0.0,0.847,0.153,Sat Dec 30 00:45:02 +0000 2017
9,CBS News,New York City's crime rate has fallen to levels not seen since the 1950s https://t.co/18dDXqYL2S https://t.co/y4g0v8ig0g,-0.7184,0.0,0.7,0.3,Sat Dec 30 00:28:02 +0000 2017
10,CBS News,"Fire department and emergency vehicles remain at the scene of shooting in Long Beach, California, @Stu_Mundel repor… https://t.co/JarOMWksFL",-0.6124,0.0,0.762,0.238,Sat Dec 30 00:07:49 +0000 2017
11,CBS News,"MORE: Several people were shot Friday afternoon outside a law office in Long Beach, California, @CBSLA reports. Pol… https://t.co/FODrfG6xNj",0.0,0.0,1.0,0.0,Sat Dec 30 00:04:38 +0000 2017
12,CBS News,"Multiple people shot at Long Beach business after reports of an ""active shooter""; two people were killed, including… https://t.co/uAjFBr7a04",-0.4215,0.112,0.702,0.186,Fri Dec 29 23:50:01 +0000 2017
13,CBS News,Some cities have postponed New Year's Eve festivities because of the extreme cold https://t.co/JvAxF5l0LM https://t.co/ELRhibgUtV,0.3182,0.173,0.726,0.101,Fri Dec 29 23:30:02 +0000 2017
14,CBS News,"""I got scared and freaked out because I thought I was going to fall off the fire escape, but I tried my best."" 10-y… https://t.co/gzeTW8LtNS",-0.4404,0.055,0.732,0.213,Fri Dec 29 23:09:02 +0000 2017
15,CBS News,"Lindsay Lohan says she was bitten by a snake while on vacation in Phuket, Thailand https://t.co/9FllrtNQJW https://t.co/z65FuGUKys",0.0,0.0,1.0,0.0,Fri Dec 29 22:46:01 +0000 2017
16,CBS News,Climate scientist responds to Trump's tweet that seemed to mock the idea of man-made climate change amid frigid tem… https://t.co/e4Sa1LG6A2,-0.4215,0.0,0.872,0.128,Fri Dec 29 22:20:01 +0000 2017
17,CBS News,"The GOP tax bill ""probably went too far"" in helping corporations, Sen. Marco Rubio told Florida's News-Press in int… https://t.co/fFFWFZab9s",0.296,0.104,0.896,0.0,Fri Dec 29 22:03:40 +0000 2017
18,CBS News,A former worker at a Pennsylvania hospital is suing over claims that nude photos were taken of her while she was on… https://t.co/HD2bW6V11x,-0.2732,0.0,0.905,0.095,Fri Dec 29 21:40:42 +0000 2017
19,CBS News,President Trump says there won't be protection for young immigrants brought into the country illegally unless he ge… https://t.co/XpnvjnStE3,0.0,0.0,1.0,0.0,Fri Dec 29 21:10:01 +0000 2017
20,CBS News,"""I'm scared! I'm scared! It's a mystery."" Man films his 85-year-old Italian grandma as she attempts to use her Goog… https://t.co/KnUHHUuTTP",-0.7494,0.0,0.738,0.262,Sat Dec 30 02:30:37 +0000 2017
21,CBS News,"""SWATing"" prank call led to the deadly officer-involved shooting of a 28-year-old man, Wichita Police Department co… https://t.co/8Vqu8gwOev",0.0,0.0,1.0,0.0,Sat Dec 30 02:15:01 +0000 2017
22,CBS News,Puerto Rico authorities say nearly half of power customers in the U.S. territory still lack electricity more than t… https://t.co/PuPSm6juIW,-0.3182,0.0,0.892,0.108,Sat Dec 30 02:00:01 +0000 2017
23,CBS News,"Three people are dead, including the gunman, after a shooting at a Houston auto repair shop, police say… https://t.co/c5FkAE0aWZ",-0.6486,0.0,0.788,0.212,Sat Dec 30 01:45:01 +0000 2017
24,CBS News,President Trump has terminated the appointments of the remaining Obama-appointed members of the Presidential Adviso… https://t.co/tkCYFO2Y5N,0.0,0.0,1.0,0.0,Sat Dec 30 01:29:02 +0000 2017
25,CBS News,"Sub-freezing temperatures caused an ""ice volcano"" to form in New York. It's 20 feet tall and spewing ice and water.… https://t.co/YIYY5XI6Vr",0.0,0.0,1.0,0.0,Sat Dec 30 01:24:31 +0000 2017
26,CBS News,"RT @48hours: The tragedy in Waco in 1993 continues to smolder. 

A special edition of #48hours begins now: https://t.co/ffybQwS8vX https://…",-0.4019,0.112,0.705,0.183,Sat Dec 30 01:02:28 +0000 2017
27,CBS News,"WATCH NOW: @48Hours reveals new details in deadly 1993 Waco, Texas, standoff. ""48 Hours: Secrets of Waco"" starts at… https://t.co/iiidVlHXCZ",0.0,0.0,1.0,0.0,Sat Dec 30 01:00:45 +0000 2017
28,CBS News,"""Although we knew this was coming, it was unexpected and fast."" Mystery writer Sue Grafton has died at age 77… https://t.co/m85JzabD09",-0.5574,0.0,0.847,0.153,Sat Dec 30 00:45:02 +0000 2017
29,CBS News,New York City's crime rate has fallen to levels not seen since the 1950s https://t.co/18dDXqYL2S https://t.co/y4g0v8ig0g,-0.7184,0.0,0.7,0.3,Sat Dec 30 00:28:02 +0000 2017
30,CBS News,"Fire department and emergency vehicles remain at the scene of shooting in Long Beach, California, @Stu_Mundel repor… https://t.co/JarOMWksFL",-0.6124,0.0,0.762,0.238,Sat Dec 30 00:07:49 +0000 2017
31,CBS News,"MORE: Several people were shot Friday afternoon outside a law office in Long Beach, California, @CBSLA reports. Pol… https://t.co/FODrfG6xNj",0.0,0.0,1.0,0.0,Sat Dec 30 00:04:38 +0000 2017
32,CBS News,"Multiple people shot at Long Beach business after reports of an ""active shooter""; two people were killed, including… https://t.co/uAjFBr7a04",-0.4215,0.112,0.702,0.186,Fri Dec 29 23:50:01 +0000 2017
33,CBS News,Some cities have postponed New Year's Eve festivities because of the extreme cold https://t.co/JvAxF5l0LM https://t.co/ELRhibgUtV,0.3182,0.173,0.726,0.101,Fri Dec 29 23:30:02 +0000 2017
34,CBS News,"""I got scared and freaked out because I thought I was going to fall off the fire escape, but I tried my best."" 10-y… https://t.co/gzeTW8LtNS",-0.4404,0.055,0.732,0.213,Fri Dec 29 23:09:02 +0000 2017
35,CBS News,"Lindsay Lohan says she was bitten by a snake while on vacation in Phuket, Thailand https://t.co/9FllrtNQJW https://t.co/z65FuGUKys",0.0,0.0,1.0,0.0,Fri Dec 29 22:46:01 +0000 2017
36,CBS News,Climate scientist responds to Trump's tweet that seemed to mock the idea of man-made climate change amid frigid tem… https://t.co/e4Sa1LG6A2,-0.4215,0.0,0.872,0.128,Fri Dec 29 22:20:01 +0000 2017
37,CBS News,"The GOP tax bill ""probably went too far"" in helping corporations, Sen. Marco Rubio told Florida's News-Press in int… https://t.co/fFFWFZab9s",0.296,0.104,0.896,0.0,Fri Dec 29 22:03:40 +0000 2017
38,CBS News,A former worker at a Pennsylvania hospital is suing over claims that nude photos were taken of her while she was on… https://t.co/HD2bW6V11x,-0.2732,0.0,0.905,0.095,Fri Dec 29 21:40:42 +0000 2017
39,CBS News,President Trump says there won't be protection for young immigrants brought into the country illegally unless he ge… https://t.co/XpnvjnStE3,0.0,0.0,1.0,0.0,Fri Dec 29 21:10:01 +0000 2017
40,CBS News,"Celebrity chef Guy Fieri's widely publicized Times Square restaurant, Guy's American Kitchen &amp; Bar, is closing its… https://t.co/NfSvuael8Y",0.0,0.0,1.0,0.0,Fri Dec 29 20:50:01 +0000 2017
41,CBS News,Prizes for the Powerball and Mega Millions lotteries have climbed past $300 million -- what are the odds of winning… https://t.co/5guHfcDlFn,0.4588,0.13,0.87,0.0,Fri Dec 29 20:30:01 +0000 2017
42,CBS News,Arctic blast leads to health concerns ahead of cold New Year's Eve and officials are urging people to look out for… https://t.co/zrzBcy1czj,0.0,0.0,1.0,0.0,Fri Dec 29 20:10:01 +0000 2017
43,CBS News,"Mystery writer Sue Grafton has died at age 77. Her daughter, Jamie Clark, posted news of her mother's death on Graf… https://t.co/5ZYqsu8SLa",-0.8176,0.0,0.727,0.273,Fri Dec 29 19:52:01 +0000 2017
44,CBS News,"""Pandas and politicians are not happy omens!"" Margaret Thatcher rejected a proposal to allow a panda to fly on her… https://t.co/MJMtcQHvxM",-0.6898,0.078,0.653,0.269,Fri Dec 29 19:50:01 +0000 2017
45,CBS News,"President Trump hits golf course with Coast Guard service members as he finishes out the year in Florida, The White… https://t.co/0PswioCbfD",0.0,0.0,1.0,0.0,Fri Dec 29 19:30:01 +0000 2017
46,CBS News,"15-year-old says he was away in Massachusetts when he learned his mother, brother, and sister were three of the fou… https://t.co/JTvFez3Fp3",0.0,0.0,1.0,0.0,Fri Dec 29 19:10:01 +0000 2017
47,CBS News,Kansas City man charged with fatally shooting estranged wife and running her over with a car https://t.co/xtAC2NTKbI https://t.co/UUvDLJFv5W,-0.7184,0.0,0.714,0.286,Fri Dec 29 18:50:02 +0000 2017
48,CBS News,The Powerball jackpot is worth at least $384 million and many people are fantasizing about winning it all. Do you k… https://t.co/D0x5l2hln5,0.6486,0.209,0.791,0.0,Fri Dec 29 18:30:39 +0000 2017
49,CBS News,Twins star Miguel Sano accused of forcibly trying to kiss female photographer  https://t.co/VJOAfB8asY https://t.co/4NlpuEFKQw,0.1531,0.165,0.706,0.129,Fri Dec 29 18:11:01 +0000 2017
50,CBS News,"HAPPENING NOW: President Trump welcomes service members to his golf course in West Palm Beach, Florida… https://t.co/Xreptt0JKL",0.4019,0.144,0.856,0.0,Fri Dec 29 18:08:49 +0000 2017
51,CBS News,"Classified: Inside United Airlines' secret, invite-only restaurant at Newark airport, https://t.co/3ZTtrmZC6z https://t.co/Snmq6UcQWy",0.4215,0.203,0.797,0.0,Fri Dec 29 17:50:01 +0000 2017
52,CBS News,"Egyptian Christians were killed in a shootout outside a church and at a nearby store owned by a Christian in Cairo,… https://t.co/mecsPalouT",-0.6705,0.0,0.791,0.209,Fri Dec 29 17:45:31 +0000 2017
53,CBS News,"President Trump suggested the East Coast might need ""a little bit of that good old Global Warming"" as large parts o… https://t.co/n1OglB4jhI",0.5423,0.184,0.816,0.0,Fri Dec 29 17:30:32 +0000 2017
54,CBS News,"A news crew in Cleveland was robbed at gunpoint Thursday, CBS affiliate WOIO reports https://t.co/o0ingducrI https://t.co/0twzyfHweE",0.0,0.0,1.0,0.0,Fri Dec 29 17:10:01 +0000 2017
55,CBS News,"Pres. Trump blasts Amazon for making Post Office ""dumber and poorer,"" saying ailing U.S. Postal Service should char… https://t.co/mjdOTeBncp",-0.2023,0.08,0.802,0.118,Fri Dec 29 16:50:01 +0000 2017
56,CBS News,A four-alarm fire that claimed the lives of at least 12 people in New York City was caused by a 3-and-a-half-year-o… https://t.co/HnOi3a8lzv,-0.34,0.0,0.888,0.112,Fri Dec 29 16:30:01 +0000 2017
57,CBS News,"A dog was found ""frozen solid"" on a porch in Toldeo, Ohio on Thursday. 
As dangerously cold temperatures persist in… https://t.co/dSEJlb6B8N",-0.34,0.074,0.787,0.139,Fri Dec 29 16:10:38 +0000 2017
58,CBS News,"In Alabama, write-in candidates ranged from SpongeBob to Bugs Bunny https://t.co/B7Hq4CUToV https://t.co/83hxlFJEx6",0.0,0.0,1.0,0.0,Fri Dec 29 15:51:01 +0000 2017
59,CBS News,"Dog found ""frozen solid"" on Toledo, Ohio, porch and it is unknown know how long the dog was outside Thursday… https://t.co/mHU7TnCiNh",0.1531,0.074,0.926,0.0,Fri Dec 29 15:20:01 +0000 2017
60,CBS News,"""Accountant of Auschwitz"" Oskar Groening loses prison appeal after Germany's highest court said Friday it is throwi… https://t.co/V7M675rMd8",-0.6808,0.0,0.741,0.259,Fri Dec 29 15:10:01 +0000 2017
61,CBS News,HAPPENING SOON: Officials in New York hold a news conference to provide updates on the four-alarm fire that claimed… https://t.co/J74WZzTLIc,-0.34,0.0,0.882,0.118,Fri Dec 29 15:04:32 +0000 2017
62,CBS News,"A great-grandmother's family is suing Alaska Airlines after she tumbled down an escalator in the Portland, Oregon,… https://t.co/aGl5fKfCQS",-0.2732,0.0,0.884,0.116,Fri Dec 29 14:50:01 +0000 2017
63,CBS News,Goldman Sachs expects to take a $5 billion hit to profits for the fourth quarter and year because of the tax overha… https://t.co/2WTiSht3Jc,0.4404,0.121,0.879,0.0,Fri Dec 29 14:30:01 +0000 2017
64,CBS News,The Powerball jackpot is now worth at least $384 million and your odds of winning are about one in 290 million. But… https://t.co/YxgaZHZPvB,0.6486,0.202,0.798,0.0,Fri Dec 29 14:10:25 +0000 2017
65,CBS News,A rundown of the 10 best films of 2017: From epic adventures and affecting character studies to innovative document… https://t.co/EZ415jU07N,0.8591,0.373,0.627,0.0,Fri Dec 29 13:50:01 +0000 2017
66,CBS News,"When you think of elite and exclusive restaurants, you typically do not think of airport dining, but hidden inside… https://t.co/FBfYxDfLIW",0.0644,0.062,0.938,0.0,Fri Dec 29 13:46:04 +0000 2017
67,CBS News,"Consumers will make $90 billion in returns over the entire holiday season, which is forcing shops to find new ways… https://t.co/wPHnSYjQuH",0.4019,0.119,0.881,0.0,Fri Dec 29 13:37:44 +0000 2017
68,CBS News,Here are some of this morning’s other headlines on @CBSThisMorning: https://t.co/d6ZuHV9UJJ,0.0,0.0,1.0,0.0,Fri Dec 29 13:33:19 +0000 2017
69,CBS News,Soccer star George Weah set to be Liberia's next leader as the nation founded by freed American slaves is seeing it… https://t.co/BP1DtJT7kK,0.4019,0.114,0.886,0.0,Fri Dec 29 13:30:01 +0000 2017
70,CBS News,"25 years since the deadly standoff with the Branch Davidian cult in Waco, Texas, a retired UPS driver is revealing… https://t.co/8Rx5V79zgs",0.0,0.0,1.0,0.0,Fri Dec 29 13:23:48 +0000 2017
71,CBS News,The new tax code could have problems for charities. Nonprofits received about $390 billion in donations last year.… https://t.co/dkiDGBGv7D,0.128,0.14,0.742,0.118,Fri Dec 29 13:18:06 +0000 2017
72,CBS News,CBS News confirms White House chief of staff John Kelly plans a re-shuffle of Pres. Trump's political team ahead of… https://t.co/peeBWWZREM,0.0,0.0,1.0,0.0,Fri Dec 29 13:12:36 +0000 2017
73,CBS News,There is new confusion for homeowners who want to prepay next year’s property taxes. They want to take advantage of… https://t.co/bn19rTaDyB,0.1027,0.193,0.714,0.092,Fri Dec 29 13:11:07 +0000 2017
74,CBS News,"President Trump used the extreme cold in the Northern U.S. to make light of global warming.  In a Tweet, Trump said… https://t.co/TIGo8K5kGl",0.1531,0.074,0.926,0.0,Fri Dec 29 13:09:46 +0000 2017
75,CBS News,Forecaster say the hard-hit Great Lakes region will get slammed by more snow. And the frigid temperatures battering… https://t.co/ikrjGvKS13,0.6249,0.186,0.814,0.0,Fri Dec 29 13:07:56 +0000 2017
76,CBS News,New York Mayor Bill de Blasio calls a fire in the Bronx an “unspeakable tragedy” after it ripped through a five-sto… https://t.co/0zQYe7xHnz,-0.34,0.0,0.888,0.112,Fri Dec 29 13:04:57 +0000 2017
77,CBS News,Here are some of this morning’s other headlines on @CBSThisMorning: https://t.co/ZlwSHLYPgo,0.0,0.0,1.0,0.0,Fri Dec 29 12:54:39 +0000 2017
78,CBS News,"""People were running over me even as the ceiling above me was collapsing in flames,"" restaurant-goer says after a f… https://t.co/Jh6Z4DH4Qk",-0.296,0.0,0.896,0.104,Fri Dec 29 12:50:01 +0000 2017
79,CBS News,"At least 8,000 drug convictions in Massachusetts are likely to be thrown out because of a state drug lab scandal. T… https://t.co/w3k5R7L6B2",-0.4404,0.0,0.873,0.127,Fri Dec 29 12:46:49 +0000 2017
80,CBS News,"Some may find this surveillance footage disturbing.
A Washington family blames Alaska Airlines and one of its contr… https://t.co/s4dasYQOmS",-0.7184,0.0,0.727,0.273,Fri Dec 29 12:38:49 +0000 2017
81,CBS News,Counterfeit makeup is raising health concerns after some consumers reported negative reactions. U.S. Customs and Bo… https://t.co/8kwFKJBVp8,-0.5719,0.0,0.812,0.188,Fri Dec 29 12:33:39 +0000 2017
82,CBS News,"Here are this morning’s three things you need to know:
1?? Inauguration hackers charged
2?? MLB player accused
3??… https://t.co/bDgs9uONnL",-0.4588,0.0,0.818,0.182,Fri Dec 29 12:33:11 +0000 2017
83,CBS News,"As China rejects accusation of oil transfers to North Korea, South Korea seizes ship suspected of transferring oil… https://t.co/rFYQEDWg10",-0.7269,0.0,0.693,0.307,Fri Dec 29 12:30:01 +0000 2017
84,CBS News,Apple is apologizing after admitting a software update deliberately slowed some older iPhones. The tech giant says… https://t.co/NEe3rIsGGi,-0.0772,0.0,0.925,0.075,Fri Dec 29 12:17:03 +0000 2017
85,CBS News,"President Trump says the special counsel investigation is ""bad for the country."" In a New York Times interview,… https://t.co/Sk2b95DH4V",-0.2023,0.122,0.721,0.158,Fri Dec 29 12:13:38 +0000 2017
86,CBS News,"For cities like New York that are going ahead with their New Year's Eve festivities despite the cold, police are ta… https://t.co/LyqArkvO84",0.6808,0.219,0.781,0.0,Fri Dec 29 12:11:39 +0000 2017
87,CBS News,New York City fire kills 12 and sends victims outside in dangerously cold temperatures https://t.co/p7imHJJR84 https://t.co/HJBbWgE0PJ,-0.8807,0.0,0.517,0.483,Fri Dec 29 12:10:01 +0000 2017
88,CBS News,Meteorologist @DanielleWBZ4 joins @CBSThisMorning with the forecast https://t.co/SuwRB0Lt80 https://t.co/c1vexsBzMn,0.0,0.0,1.0,0.0,Fri Dec 29 12:09:46 +0000 2017
89,CBS News,"A deadly cold snap is gripping more than half the country. Across the Midwest and Northeast, millions are doing wha… https://t.co/4SJWGPjWep",0.0,0.0,1.0,0.0,Fri Dec 29 12:07:25 +0000 2017
90,CBS News,"The deadliest fire in New York City in 27 years ripped through a five-story apartment building Thursday night, one… https://t.co/vJzK0imRZx",-0.34,0.0,0.882,0.118,Fri Dec 29 12:04:57 +0000 2017
91,CBS News,"COMING UP on @CBSThisMorning: With holiday retail sales setting a new record this year, retailers will deal with a… https://t.co/a7ZY54N68P",0.4019,0.13,0.87,0.0,Fri Dec 29 11:55:01 +0000 2017
92,CBS News,President Trump told The New York Times Thursday he thinks special counsel Robert Mueller will treat him fairly --… https://t.co/OnKg2wZLNd,0.6597,0.231,0.769,0.0,Fri Dec 29 11:50:01 +0000 2017
