,Account Name,Tweet Text,Compound Score,Positive Score,Neutral Score,Negative Score,Date
0,CNN,The Trump administration has terminated the appointments of the remaining members of the Presidential Advisory Coun… https://t.co/oZJm2ekaEh,0.0,0.0,1.0,0.0,Sat Dec 30 02:37:03 +0000 2017
1,CNN,"How cold is it? It's water-freezes-in-mid-air, crack-in-your-window, close-the-ice-hockey-rinks cold in many parts… https://t.co/lmp00yxaRL",0.0,0.0,1.0,0.0,Sat Dec 30 02:30:03 +0000 2017
2,CNN,The 47 most outrageous lines in Donald Trump's New York Times interview | Analysis by Chris Cillizza https://t.co/ji1oyHtiIz,-0.5095,0.0,0.829,0.171,Sat Dec 30 02:16:05 +0000 2017
3,CNN,Claire's pulls children's makeup kits over asbestos concerns https://t.co/Y5AQq1egsu https://t.co/J5I6wuuhFV,0.0,0.0,1.0,0.0,Sat Dec 30 02:00:04 +0000 2017
4,CNN,Sen. Bernie Sanders will swear in Bill de Blasio for his second and last term as mayor of New York on New Year's Da… https://t.co/YfU2ic75aT,-0.0516,0.0,0.952,0.048,Sat Dec 30 01:46:06 +0000 2017
5,CNN,2017 was the year of the red-hot job market https://t.co/R4uhdomthZ https://t.co/1je4e4Yiov,0.0,0.0,1.0,0.0,Sat Dec 30 01:31:06 +0000 2017
6,CNN,"No, President Trump's approval rating hasn't caught up to Obama's https://t.co/2guevLUTO3",0.2263,0.217,0.629,0.154,Sat Dec 30 01:16:07 +0000 2017
7,CNN,"When Jean-Georges Vongerichten landed in NYC in 1986, it was at the markets and street vendors where he fell in lov… https://t.co/kW0gx2VgpX",0.0,0.0,1.0,0.0,Sat Dec 30 01:02:16 +0000 2017
8,CNN,"In a race against looming changes to the tax code, Goldman Sachs handed out nearly $100 million worth of stock awar… https://t.co/d3QpqV5QVB",0.1027,0.085,0.848,0.067,Sat Dec 30 00:57:47 +0000 2017
9,CNN,"Former British PM Margaret Thatcher once refused to share a flight to Washington with a giant panda, according to o… https://t.co/aIF2v0bkQa",0.0,0.103,0.794,0.103,Sat Dec 30 00:16:03 +0000 2017
10,CNN,President Trump's first formal medical exam since taking office will be on Jan 12 https://t.co/Rbupofv4Xi https://t.co/lb1HYlAzCP,0.0,0.0,1.0,0.0,Sat Dec 30 00:01:08 +0000 2017
11,CNN,"Sue Grafton, the best-selling mystery writer who penned 25 novels with alphabet-based titles, has died after a bout… https://t.co/qN3tT5yy5F",-0.5574,0.0,0.825,0.175,Fri Dec 29 23:46:03 +0000 2017
12,CNN,Donald Trump doesn't know the difference between climate and weather | Analysis by Chris Cillizza… https://t.co/zDT4ym6dYf,0.0,0.0,1.0,0.0,Fri Dec 29 23:31:03 +0000 2017
13,CNN,2017: A year of monumental change in the media https://t.co/3mLgKmbLMq,0.0,0.0,1.0,0.0,Fri Dec 29 23:16:08 +0000 2017
14,CNN,"RT @CNNSitRoom: Democrat David Cicilline slams Trump's handling of North Korea: ""We need to tone down the rhetoric. ... This situation has…",0.0,0.0,1.0,0.0,Fri Dec 29 23:04:48 +0000 2017
15,CNN,Beatles drummer Ringo Starr and BeeGees co-founder Barry Gibb have been knighted in Queen Elizabeth's 2018 New Year… https://t.co/4eeiWuIAEf,0.0,0.0,1.0,0.0,Fri Dec 29 22:56:16 +0000 2017
16,CNN,"Across the country, many Americans will ring in 2018 with a raise. Here's where the minimum wage is going up next y… https://t.co/mQxazKwFGt",0.0,0.0,1.0,0.0,Fri Dec 29 22:47:58 +0000 2017
17,CNN,President Trump lays out his immigration deal demands https://t.co/5F7BlQYATD https://t.co/X8H760G673,0.0,0.0,1.0,0.0,Fri Dec 29 22:36:41 +0000 2017
18,CNN,"RT @CNNSitRoom: ""The statement that (President Trump) can do absolutely whatever he wants is a complete misunderstanding of the role of the…",-0.4215,0.0,0.877,0.123,Fri Dec 29 22:35:16 +0000 2017
19,CNN,The US State Department posted a number of emails belonging to former top Hillary Clinton aide Huma Abedin that the… https://t.co/oSDT6wsVCz,0.2732,0.147,0.853,0.0,Fri Dec 29 22:18:03 +0000 2017
20,CNN,The Trump administration has terminated the appointments of the remaining members of the Presidential Advisory Coun… https://t.co/oZJm2ekaEh,0.0,0.0,1.0,0.0,Sat Dec 30 02:37:03 +0000 2017
